,controller_name,episode,reward_mean,reward_sum,query_cost_mean,query_cost_sum,query_cost_weight,accuracy_cost_mean,accuracy_cost_sum,accuracy_weight,cloud_query_budget_frac
0,pure_oracle,72,-2.780952380952381,-292.0,0.4,42.0,1.0,0.23809523809523808,25.0,10.0,0.05
0,pure_oracle,588,-0.8571428571428571,-90.0,0.8571428571428571,90.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,78,-0.38235294117647056,-39.0,0.38235294117647056,39.0,1.0,0.0,0.0,10.0,0.05
0,pure_oracle,594,-0.5346534653465347,-54.0,0.5346534653465347,54.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,84,-0.3883495145631068,-40.0,0.3883495145631068,40.0,1.0,0.0,0.0,10.0,0.05
0,pure_oracle,600,-0.625,-65.0,0.625,65.0,1.0,0.0,0.0,10.0,0.8
0,pure_oracle,90,-1.542857142857143,-162.0,0.4,42.0,1.0,0.11428571428571428,12.0,10.0,0.05
0,pure_oracle,606,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,96,-1.0666666666666667,-112.0,0.4,42.0,1.0,0.06666666666666667,7.0,10.0,0.05
0,pure_oracle,612,-0.8952380952380953,-94.0,0.8952380952380953,94.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,102,-0.9714285714285714,-102.0,0.4,42.0,1.0,0.05714285714285714,6.0,10.0,0.05
0,pure_oracle,618,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,108,-2.6857142857142855,-282.0,0.4,42.0,1.0,0.22857142857142856,24.0,10.0,0.05
0,pure_oracle,624,-0.5142857142857142,-54.0,0.5142857142857142,54.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,114,-1.0693069306930694,-108.0,0.37623762376237624,38.0,1.0,0.06930693069306931,7.0,10.0,0.05
0,pure_oracle,630,-0.3619047619047619,-38.0,0.3619047619047619,38.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,120,-0.9711538461538461,-101.0,0.3942307692307692,41.0,1.0,0.057692307692307696,6.0,10.0,0.05
0,pure_oracle,636,-0.6285714285714286,-66.0,0.6285714285714286,66.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,126,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,642,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,132,-1.276190476190476,-134.0,0.7047619047619048,74.0,1.0,0.05714285714285714,6.0,10.0,0.15
0,pure_oracle,648,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,138,-0.5523809523809524,-58.0,0.5523809523809524,58.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,654,-0.7788461538461539,-81.0,0.7788461538461539,81.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,144,-0.5142857142857142,-54.0,0.5142857142857142,54.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,660,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,150,-0.3619047619047619,-38.0,0.3619047619047619,38.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,666,-0.5865384615384616,-61.0,0.5865384615384616,61.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,156,-0.6285714285714286,-66.0,0.6285714285714286,66.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,672,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,162,-0.8,-84.0,0.7047619047619048,74.0,1.0,0.009523809523809525,1.0,10.0,0.15
0,pure_oracle,678,-0.5784313725490197,-59.0,0.5784313725490197,59.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,168,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,684,-0.5825242718446602,-60.0,0.5825242718446602,60.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,174,-0.7019230769230769,-73.0,0.7019230769230769,73.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,690,-0.780952380952381,-82.0,0.780952380952381,82.0,1.0,0.0,0.0,10.0,0.9
0,pure_oracle,180,-0.7047619047619048,-74.0,0.7047619047619048,74.0,1.0,0.0,0.0,10.0,0.15
0,pure_oracle,696,-0.5904761904761905,-62.0,0.5904761904761905,62.0,1.0,0.0,0.0,10.0,0.9
